Gene	Slope	P-value
SIRT1	SIRT1	SIRT1
HERC4	HERC4	HERC4
RPS3AP38	RPS3AP38	RPS3AP38
RN7SL220P	RN7SL220P	RN7SL220P
POU5F1P5	POU5F1P5	POU5F1P5
MYPN	MYPN	MYPN
RN7SKP202	RN7SKP202	RN7SKP202
ATOH7	ATOH7	ATOH7
RP11-153K11.3	RP11-153K11.3	RP11-153K11.3
KRT19P4	KRT19P4	KRT19P4
PBLD	PBLD	PBLD
HNRNPH3	HNRNPH3	HNRNPH3
RUFY2	RUFY2	RUFY2
DNA2	DNA2	DNA2
RPL26P29	RPL26P29	RPL26P29
RNA5SP319	RNA5SP319	RNA5SP319
SLC25A16	SLC25A16	SLC25A16
RPL26P27	RPL26P27	RPL26P27
TMEM14DP	TMEM14DP	TMEM14DP
TET1	TET1	TET1
COX20P1	COX20P1	COX20P1
RPS3AP37	RPS3AP37	RPS3AP37
RP11-119F7.5	RP11-119F7.5	RP11-119F7.5
RP11-119F7.6	RP11-119F7.6	RP11-119F7.6
CCAR1	CCAR1	CCAR1
SNORD98	SNORD98	SNORD98
MIR1254-1	MIR1254-1	MIR1254-1
STOX1	STOX1	STOX1
RNU6-697P	RNU6-697P	RNU6-697P
DDX50	DDX50	DDX50
RNU6-571P	RNU6-571P	RNU6-571P
DDX21	DDX21	DDX21
KIF1BP	KIF1BP	KIF1BP
MED28P1	MED28P1	MED28P1
ACTBP14	ACTBP14	ACTBP14
SRGN	SRGN	SRGN
VPS26A	VPS26A	VPS26A
RPS12P17	RPS12P17	RPS12P17
SUPV3L1	SUPV3L1	SUPV3L1
RP11-227H15.4	RP11-227H15.4	RP11-227H15.4
HKDC1	HKDC1	HKDC1
RP11-227H15.5	RP11-227H15.5	RP11-227H15.5
HK1	HK1	HK1
RPS15AP28	RPS15AP28	RPS15AP28
TACR2	TACR2	TACR2
ATP5G1P7	ATP5G1P7	ATP5G1P7
TSPAN15	TSPAN15	TSPAN15
TMEM256P1	TMEM256P1	TMEM256P1
NEUROG3	NEUROG3	NEUROG3
RP11-343J3.2	RP11-343J3.2	RP11-343J3.2
MTATP6P23	MTATP6P23	MTATP6P23
MTCO2P23	MTCO2P23	MTCO2P23
MTCO1P23	MTCO1P23	MTCO1P23
MTND2P15	MTND2P15	MTND2P15
MTND1P20	MTND1P20	MTND1P20
C10orf35	C10orf35	C10orf35
RP11-242G20.1	RP11-242G20.1	RP11-242G20.1
RPL5P26	RPL5P26	RPL5P26
COL13A1	COL13A1	COL13A1
RP11-262I2.2	RP11-262I2.2	RP11-262I2.2
H2AFY2	H2AFY2	H2AFY2
AIFM2	AIFM2	AIFM2
TYSND1	TYSND1	TYSND1
SAR1A	SAR1A	SAR1A
CALM2P2	CALM2P2	CALM2P2
RPS25P9	RPS25P9	RPS25P9
PPA1	PPA1	PPA1
NPFFR1	NPFFR1	NPFFR1
LRRC20	LRRC20	LRRC20
CEP57L1P1	CEP57L1P1	CEP57L1P1
EIF4EBP2	EIF4EBP2	EIF4EBP2
NODAL	NODAL	NODAL
RP11-104F15.9	RP11-104F15.9	RP11-104F15.9
PALD1	PALD1	PALD1
YY1P1	YY1P1	YY1P1
PRF1	PRF1	PRF1
ADAMTS14	ADAMTS14	ADAMTS14
TBATA	TBATA	TBATA
RPS26P40	RPS26P40	RPS26P40
SGPL1	SGPL1	SGPL1
PCBD1	PCBD1	PCBD1
RP11-432J9.3	RP11-432J9.3	RP11-432J9.3
RP11-432J9.6	RP11-432J9.6	RP11-432J9.6
UNC5B	UNC5B	UNC5B
UNC5B-AS1	UNC5B-AS1	UNC5B-AS1
SLC29A3	SLC29A3	SLC29A3
RP11-327E2.5	RP11-327E2.5	RP11-327E2.5
CDH23	CDH23	CDH23
CDH23-AS1	CDH23-AS1	CDH23-AS1
C10orf105	C10orf105	C10orf105
VSIR	VSIR	VSIR
MIR7152	MIR7152	MIR7152
PSAP	PSAP	PSAP
RNU7-38P	RNU7-38P	RNU7-38P
RP11-472G21.2	RP11-472G21.2	RP11-472G21.2
CHST3	CHST3	CHST3
RP11-150D20.5	RP11-150D20.5	RP11-150D20.5
SPOCK2	SPOCK2	SPOCK2
ASCC1	ASCC1	ASCC1
RPL15P14	RPL15P14	RPL15P14
ANAPC16	ANAPC16	ANAPC16
DDIT4	DDIT4	DDIT4
DNAJB12	DNAJB12	DNAJB12
MICU1	MICU1	MICU1
RNU6-805P	RNU6-805P	RNU6-805P
RP11-205A8.4	RP11-205A8.4	RP11-205A8.4
RP11-205A8.3	RP11-205A8.3	RP11-205A8.3
RP11-167P22.3	RP11-167P22.3	RP11-167P22.3
RP11-167P22.4	RP11-167P22.4	RP11-167P22.4
RN7SL840P	RN7SL840P	RN7SL840P
HMGN2P34	HMGN2P34	HMGN2P34
RP11-167P22.5	RP11-167P22.5	RP11-167P22.5
MCU	MCU	MCU
MIR4676	MIR4676	MIR4676
RP11-354E23.3	RP11-354E23.3	RP11-354E23.3
RP11-354E23.4	RP11-354E23.4	RP11-354E23.4
RP11-354E23.5	RP11-354E23.5	RP11-354E23.5
OIT3	OIT3	OIT3
NPM1P24	NPM1P24	NPM1P24
PLA2G12B	PLA2G12B	PLA2G12B
RPL17P50	RPL17P50	RPL17P50
P4HA1	P4HA1	P4HA1
RP11-344N10.4	RP11-344N10.4	RP11-344N10.4
RP11-344N10.2	RP11-344N10.2	RP11-344N10.2
RP11-344N10.5	RP11-344N10.5	RP11-344N10.5
NUDT13	NUDT13	NUDT13
RP11-152N13.16	RP11-152N13.16	RP11-152N13.16
ECD	ECD	ECD
FAM149B1	FAM149B1	FAM149B1
DNAJC9	DNAJC9	DNAJC9
EIF4A2P2	EIF4A2P2	EIF4A2P2
MRPS16	MRPS16	MRPS16
DNAJC9-AS1	DNAJC9-AS1	DNAJC9-AS1
CFAP70	CFAP70	CFAP70
RNU6-833P	RNU6-833P	RNU6-833P
ANXA7	ANXA7	ANXA7
RP11-537A6.9	RP11-537A6.9	RP11-537A6.9
RPL26P6	RPL26P6	RPL26P6
MSS51	MSS51	MSS51
PPP3CB	PPP3CB	PPP3CB
PPP3CB-AS1	PPP3CB-AS1	PPP3CB-AS1
USP54	USP54	USP54
RNU6-883P	RNU6-883P	RNU6-883P
RPS26P41	RPS26P41	RPS26P41
RP11-464F9.20	RP11-464F9.20	RP11-464F9.20
RP11-464F9.22	RP11-464F9.22	RP11-464F9.22
MYOZ1	MYOZ1	MYOZ1
SYNPO2L	SYNPO2L	SYNPO2L
RP11-464F9.21	RP11-464F9.21	RP11-464F9.21
AGAP5	AGAP5	AGAP5
RP11-574K11.29	RP11-574K11.29	RP11-574K11.29
RNA5SP320	RNA5SP320	RNA5SP320
BMS1P4	BMS1P4	BMS1P4
GLUD1P3	GLUD1P3	GLUD1P3
DUSP8P5	DUSP8P5	DUSP8P5
RP11-574K11.27	RP11-574K11.27	RP11-574K11.27
RP11-574K11.24	RP11-574K11.24	RP11-574K11.24
SEC24C	SEC24C	SEC24C
RP11-574K11.32	RP11-574K11.32	RP11-574K11.32
FUT11	FUT11	FUT11
CHCHD1	CHCHD1	CHCHD1
ZSWIM8	ZSWIM8	ZSWIM8
RP11-574K11.26	RP11-574K11.26	RP11-574K11.26
ZSWIM8-AS1	ZSWIM8-AS1	ZSWIM8-AS1
NDST2	NDST2	NDST2
CAMK2G	CAMK2G	CAMK2G
RP11-574K11.5	RP11-574K11.5	RP11-574K11.5
RP11-574K11.8	RP11-574K11.8	RP11-574K11.8
PLAU	PLAU	PLAU
C10orf55	C10orf55	C10orf55
VCL	VCL	VCL
RP11-417O11.5	RP11-417O11.5	RP11-417O11.5
AP3M1	AP3M1	AP3M1
ADK	ADK	ADK
TIMM9P1	TIMM9P1	TIMM9P1
RPSAP6	RPSAP6	RPSAP6
RAB5CP1	RAB5CP1	RAB5CP1
RP11-46O21.2	RP11-46O21.2	RP11-46O21.2
MRPL35P3	MRPL35P3	MRPL35P3
NDUFA8P1	NDUFA8P1	NDUFA8P1
POLR3DP1	POLR3DP1	POLR3DP1
RP11-383B24.3	RP11-383B24.3	RP11-383B24.3
RP11-222G7.2	RP11-222G7.2	RP11-222G7.2
KAT6B	KAT6B	KAT6B
RP11-77G23.2	RP11-77G23.2	RP11-77G23.2
RP11-77G23.5	RP11-77G23.5	RP11-77G23.5
DUPD1	DUPD1	DUPD1
PPIAP13	PPIAP13	PPIAP13
DUSP13	DUSP13	DUSP13
SAMD8	SAMD8	SAMD8
RPS26P42	RPS26P42	RPS26P42
VDAC2	VDAC2	VDAC2
COMTD1	COMTD1	COMTD1
RPL39P25	RPL39P25	RPL39P25
ZNF503-AS1	ZNF503-AS1	ZNF503-AS1
HMGA1P5	HMGA1P5	HMGA1P5
RP11-399K21.11	RP11-399K21.11	RP11-399K21.11
RP11-399K21.5	RP11-399K21.5	RP11-399K21.5
SPA17P1	SPA17P1	SPA17P1
ZNF503	ZNF503	ZNF503
ZNF503-AS2	ZNF503-AS2	ZNF503-AS2
RP11-399K21.13	RP11-399K21.13	RP11-399K21.13
RP11-399K21.14	RP11-399K21.14	RP11-399K21.14
RP11-399K21.10	RP11-399K21.10	RP11-399K21.10
C10orf11	C10orf11	C10orf11
RP11-399K21.12	RP11-399K21.12	RP11-399K21.12
MIR606	MIR606	MIR606
RP11-310J24.3	RP11-310J24.3	RP11-310J24.3
RP11-367B6.2	RP11-367B6.2	RP11-367B6.2
RN7SL518P	RN7SL518P	RN7SL518P
RNU6-673P	RNU6-673P	RNU6-673P
RP11-43N22.1	RP11-43N22.1	RP11-43N22.1
RP11-369F10.2	RP11-369F10.2	RP11-369F10.2
RP11-325D15.2	RP11-325D15.2	RP11-325D15.2
ATP5G1P8	ATP5G1P8	ATP5G1P8
KCNMA1	KCNMA1	KCNMA1
KCNMA1-AS1	KCNMA1-AS1	KCNMA1-AS1
KCNMA1-AS2	KCNMA1-AS2	KCNMA1-AS2
RP11-328K22.1	RP11-328K22.1	RP11-328K22.1
KCNMA1-AS3	KCNMA1-AS3	KCNMA1-AS3
COX6CP15	COX6CP15	COX6CP15
RNA5SP321	RNA5SP321	RNA5SP321
RP11-428P16.2	RP11-428P16.2	RP11-428P16.2
RP11-428P16.3	RP11-428P16.3	RP11-428P16.3
RNU6-1266P	RNU6-1266P	RNU6-1266P
IMPDH1P5	IMPDH1P5	IMPDH1P5
RP13-39P12.3	RP13-39P12.3	RP13-39P12.3
DLG5	DLG5	DLG5
RP11-126H7.4	RP11-126H7.4	RP11-126H7.4
RN7SL284P	RN7SL284P	RN7SL284P
DLG5-AS1	DLG5-AS1	DLG5-AS1
H2AFZP5	H2AFZP5	H2AFZP5
POLR3A	POLR3A	POLR3A
RPS24	RPS24	RPS24
GNAI2P2	GNAI2P2	GNAI2P2
RP11-157J13.1	RP11-157J13.1	RP11-157J13.1
RP11-90J7.3	RP11-90J7.3	RP11-90J7.3
LINC00856	LINC00856	LINC00856
RP11-90J7.2	RP11-90J7.2	RP11-90J7.2
RP11-90J7.4	RP11-90J7.4	RP11-90J7.4
SNORA71	SNORA71	SNORA71
RP11-17G2.1	RP11-17G2.1	RP11-17G2.1
RP11-31E13.2	RP11-31E13.2	RP11-31E13.2
ZMIZ1-AS1	ZMIZ1-AS1	ZMIZ1-AS1
RP11-481G8.2	RP11-481G8.2	RP11-481G8.2
ZMIZ1	ZMIZ1	ZMIZ1
PPIF	PPIF	PPIF
ZCCHC24	ZCCHC24	ZCCHC24
RP11-342M3.5	RP11-342M3.5	RP11-342M3.5
TPRX1P1	TPRX1P1	TPRX1P1
RP11-342M3.1	RP11-342M3.1	RP11-342M3.1
RP11-342M3.2	RP11-342M3.2	RP11-342M3.2
EIF5AL1	EIF5AL1	EIF5AL1
RP11-589B3.7	RP11-589B3.7	RP11-589B3.7
RPS12P18	RPS12P18	RPS12P18
SFTPA2	SFTPA2	SFTPA2
MBL3P	MBL3P	MBL3P
SFTPA3P	SFTPA3P	SFTPA3P
SFTPA1	SFTPA1	SFTPA1
RP11-589B3.6	RP11-589B3.6	RP11-589B3.6
RP11-506M13.3	RP11-506M13.3	RP11-506M13.3
NUTM2B-AS1	NUTM2B-AS1	NUTM2B-AS1
RP11-182L21.5	RP11-182L21.5	RP11-182L21.5
RP11-119F19.5	RP11-119F19.5	RP11-119F19.5
BEND3P3	BEND3P3	BEND3P3
NUTM2B	NUTM2B	NUTM2B
RP11-182L21.6	RP11-182L21.6	RP11-182L21.6
NUTM2E	NUTM2E	NUTM2E
NPAP1P2	NPAP1P2	NPAP1P2
CTSLP6	CTSLP6	CTSLP6
PGGT1BP2	PGGT1BP2	PGGT1BP2
BMS1P21	BMS1P21	BMS1P21
MBL1P	MBL1P	MBL1P
RP11-479O17.12	RP11-479O17.12	RP11-479O17.12
SFTPD	SFTPD	SFTPD
SFTPD-AS1	SFTPD-AS1	SFTPD-AS1
ZNRF2P3	ZNRF2P3	ZNRF2P3
DPY19L2P5	DPY19L2P5	DPY19L2P5
RP11-369J21.11	RP11-369J21.11	RP11-369J21.11
C1DP3	C1DP3	C1DP3
C1DP2	C1DP2	C1DP2
C1DP4	C1DP4	C1DP4
TMEM254-AS1	TMEM254-AS1	TMEM254-AS1
TMEM254	TMEM254	TMEM254
RPL22P18	RPL22P18	RPL22P18
PLAC9	PLAC9	PLAC9
ANXA11	ANXA11	ANXA11
LINC00857	LINC00857	LINC00857
RPS12P2	RPS12P2	RPS12P2
RP11-40F6.1	RP11-40F6.1	RP11-40F6.1
EIF5AP4	EIF5AP4	EIF5AP4
RP11-36D19.9	RP11-36D19.9	RP11-36D19.9
MAT1A	MAT1A	MAT1A
ZNF519P1	ZNF519P1	ZNF519P1
RP11-36D19.8	RP11-36D19.8	RP11-36D19.8
DYDC1	DYDC1	DYDC1
DYDC2	DYDC2	DYDC2
FAM213A	FAM213A	FAM213A
TSPAN14	TSPAN14	TSPAN14
RP11-137H2.4	RP11-137H2.4	RP11-137H2.4
SH2D4B	SH2D4B	SH2D4B
RP11-514F8.2	RP11-514F8.2	RP11-514F8.2
RPS7P9	RPS7P9	RPS7P9
RP11-20E23.1	RP11-20E23.1	RP11-20E23.1
FARSBP1	FARSBP1	FARSBP1
WARS2P1	WARS2P1	WARS2P1
RPA2P2	RPA2P2	RPA2P2
NRG3	NRG3	NRG3
RP11-202D18.2	RP11-202D18.2	RP11-202D18.2
NRG3-AS1	NRG3-AS1	NRG3-AS1
RNU6-441P	RNU6-441P	RNU6-441P
RNU6-478P	RNU6-478P	RNU6-478P
MARK2P15	MARK2P15	MARK2P15
RP11-344L13.2	RP11-344L13.2	RP11-344L13.2
RP11-344L13.1	RP11-344L13.1	RP11-344L13.1
RNU6-129P	RNU6-129P	RNU6-129P
RP11-219F10.1	RP11-219F10.1	RP11-219F10.1
RNU1-65P	RNU1-65P	RNU1-65P
HMGN2P8	HMGN2P8	HMGN2P8
RP11-338I21.1	RP11-338I21.1	RP11-338I21.1
GHITM	GHITM	GHITM
C10orf99	C10orf99	C10orf99
CDHR1	CDHR1	CDHR1
LRIT2	LRIT2	LRIT2
LRIT1	LRIT1	LRIT1
RGR	RGR	RGR
LINC00858	LINC00858	LINC00858
CCSER2	CCSER2	CCSER2
RPL12P29	RPL12P29	RPL12P29
TNPO1P1	TNPO1P1	TNPO1P1
CACYBPP1	CACYBPP1	CACYBPP1
RPS3AP5	RPS3AP5	RPS3AP5
LINC01519	LINC01519	LINC01519
RP11-475D12.1	RP11-475D12.1	RP11-475D12.1
RP11-475D12.2	RP11-475D12.2	RP11-475D12.2
LINC01520	LINC01520	LINC01520
RP11-113E21.2	RP11-113E21.2	RP11-113E21.2
RNU6-325P	RNU6-325P	RNU6-325P
RP11-113E21.3	RP11-113E21.3	RP11-113E21.3
GRID1-AS1	GRID1-AS1	GRID1-AS1
GRID1	GRID1	GRID1
RP11-93H12.4	RP11-93H12.4	RP11-93H12.4
RN7SKP238	RN7SKP238	RN7SKP238
RP11-93H12.3	RP11-93H12.3	RP11-93H12.3
RNA5SP322	RNA5SP322	RNA5SP322
MIR346	MIR346	MIR346
WAPL	WAPL	WAPL
RNU6-780P	RNU6-780P	RNU6-780P
RP11-77P6.2	RP11-77P6.2	RP11-77P6.2
RPL7AP8	RPL7AP8	RPL7AP8
OPN4	OPN4	OPN4
LDB3	LDB3	LDB3
RP11-359E3.4	RP11-359E3.4	RP11-359E3.4
BMPR1A	BMPR1A	BMPR1A
RPAP2P1	RPAP2P1	RPAP2P1
RNU1-19P	RNU1-19P	RNU1-19P
MMRN2	MMRN2	MMRN2
RP11-411A19.5	RP11-411A19.5	RP11-411A19.5
SNCG	SNCG	SNCG
ADIRF-AS1	ADIRF-AS1	ADIRF-AS1
ADIRF	ADIRF	ADIRF
BMS1P3	BMS1P3	BMS1P3
RP11-96C23.11	RP11-96C23.11	RP11-96C23.11
RP11-96C23.10	RP11-96C23.10	RP11-96C23.10
FAM25A	FAM25A	FAM25A
RP11-96C23.12	RP11-96C23.12	RP11-96C23.12
RNU6-529P	RNU6-529P	RNU6-529P
GLUD1	GLUD1	GLUD1
FAM35A	FAM35A	FAM35A
RP11-96C23.9	RP11-96C23.9	RP11-96C23.9
RN7SL733P	RN7SL733P	RN7SL733P
NUTM2A-AS1	NUTM2A-AS1	NUTM2A-AS1
NUTM2A	NUTM2A	NUTM2A
LINC00863	LINC00863	LINC00863
NUTM2D	NUTM2D	NUTM2D
NPAP1P3	NPAP1P3	NPAP1P3
CTSLP1	CTSLP1	CTSLP1
LINC00864	LINC00864	LINC00864
RP11-399L7.3	RP11-399L7.3	RP11-399L7.3
MIR4678	MIR4678	MIR4678
MINPP1	MINPP1	MINPP1
RP11-57C13.4	RP11-57C13.4	RP11-57C13.4
RP11-57C13.6	RP11-57C13.6	RP11-57C13.6
RP11-57C13.3	RP11-57C13.3	RP11-57C13.3
RPS26P38	RPS26P38	RPS26P38
PAPSS2	PAPSS2	PAPSS2
ATAD1	ATAD1	ATAD1
CFL1P1	CFL1P1	CFL1P1
RN7SL78P	RN7SL78P	RN7SL78P
KLLN	KLLN	KLLN
PTEN	PTEN	PTEN
RP11-380G5.2	RP11-380G5.2	RP11-380G5.2
RPL11P3	RPL11P3	RPL11P3
MED6P1	MED6P1	MED6P1
RP11-129G17.2	RP11-129G17.2	RP11-129G17.2
RNLS	RNLS	RNLS
LIPJ	LIPJ	LIPJ
RPL7P34	RPL7P34	RPL7P34
LIPF	LIPF	LIPF
NAPGP1	NAPGP1	NAPGP1
LIPK	LIPK	LIPK
KRT8P38	KRT8P38	KRT8P38
LIPN	LIPN	LIPN
RCBTB2P1	RCBTB2P1	RCBTB2P1
LIPM	LIPM	LIPM
ANKRD22	ANKRD22	ANKRD22
PTCD2P2	PTCD2P2	PTCD2P2
STAMBPL1	STAMBPL1	STAMBPL1
ACTA2-AS1	ACTA2-AS1	ACTA2-AS1
ACTA2	ACTA2	ACTA2
FAS	FAS	FAS
FAS-AS1	FAS-AS1	FAS-AS1
RP11-399O19.9	RP11-399O19.9	RP11-399O19.9
RP11-341B24.3	RP11-341B24.3	RP11-341B24.3
CH25H	CH25H	CH25H
LIPA	LIPA	LIPA
IFIT2	IFIT2	IFIT2
RP11-149I23.3	RP11-149I23.3	RP11-149I23.3
IFIT3	IFIT3	IFIT3
IFIT6P	IFIT6P	IFIT6P
IFIT1B	IFIT1B	IFIT1B
IFIT1	IFIT1	IFIT1
IFIT5	IFIT5	IFIT5
SLC16A12	SLC16A12	SLC16A12
SLC16A12-AS1	SLC16A12-AS1	SLC16A12-AS1
PANK1	PANK1	PANK1
MIR107	MIR107	MIR107
RP11-80H5.6	RP11-80H5.6	RP11-80H5.6
RP11-80H5.2	RP11-80H5.2	RP11-80H5.2
RP11-80H5.9	RP11-80H5.9	RP11-80H5.9
RP11-80H5.7	RP11-80H5.7	RP11-80H5.7
KIF20B	KIF20B	KIF20B
MTND5P42	MTND5P42	MTND5P42
LINC00865	LINC00865	LINC00865
LINC01374	LINC01374	LINC01374
LINC01375	LINC01375	LINC01375
SNRPD2P1	SNRPD2P1	SNRPD2P1
RN7SKP143	RN7SKP143	RN7SKP143
RP11-15K3.1	RP11-15K3.1	RP11-15K3.1
RP11-94M14.2	RP11-94M14.2	RP11-94M14.2
RP11-94M14.3	RP11-94M14.3	RP11-94M14.3
RP11-30G13.1	RP11-30G13.1	RP11-30G13.1
HTR7	HTR7	HTR7
RPP30	RPP30	RPP30
ANKRD1	ANKRD1	ANKRD1
RNU6-740P	RNU6-740P	RNU6-740P
RP11-236B18.2	RP11-236B18.2	RP11-236B18.2
RP11-236B18.5	RP11-236B18.5	RP11-236B18.5
LINC00502	LINC00502	LINC00502
DDX18P6	DDX18P6	DDX18P6
NUDT9P1	NUDT9P1	NUDT9P1
PCGF5	PCGF5	PCGF5
HECTD2	HECTD2	HECTD2
RP11-108M11.3	RP11-108M11.3	RP11-108M11.3
RPS27P1	RPS27P1	RPS27P1
PPP1R3C	PPP1R3C	PPP1R3C
GAPDHP28	GAPDHP28	GAPDHP28
FAF2P1	FAF2P1	FAF2P1
TNKS2-AS1	TNKS2-AS1	TNKS2-AS1
TNKS2	TNKS2	TNKS2
SRP9P1	SRP9P1	SRP9P1
RP11-402D21.3	RP11-402D21.3	RP11-402D21.3
FGFBP3	FGFBP3	FGFBP3
RP11-402D21.2	RP11-402D21.2	RP11-402D21.2
BTAF1	BTAF1	BTAF1
CPEB3	CPEB3	CPEB3
SDHCP2	SDHCP2	SDHCP2
EIF4A1P8	EIF4A1P8	EIF4A1P8
CPEB3_ribozyme	CPEB3_ribozyme	CPEB3_ribozyme
NHP2P1	NHP2P1	NHP2P1
MARCH5	MARCH5	MARCH5
RNY3P12	RNY3P12	RNY3P12
MARK2P9	MARK2P9	MARK2P9
IDE	IDE	IDE
KIF11	KIF11	KIF11
RPL11P4	RPL11P4	RPL11P4
RN7SL644P	RN7SL644P	RN7SL644P
EIF2S2P3	EIF2S2P3	EIF2S2P3
HHEX	HHEX	HHEX
EXOC6	EXOC6	EXOC6
RP11-477L16.2	RP11-477L16.2	RP11-477L16.2
RP11-348J12.2	RP11-348J12.2	RP11-348J12.2
CYP26C1	CYP26C1	CYP26C1
RP11-348J12.5	RP11-348J12.5	RP11-348J12.5
CYP26A1	CYP26A1	CYP26A1
NIP7P1	NIP7P1	NIP7P1
XRCC6P1	XRCC6P1	XRCC6P1
RPL17P34	RPL17P34	RPL17P34
MYOF	MYOF	MYOF
CEP55	CEP55	CEP55
RNA5SP323	RNA5SP323	RNA5SP323
FFAR4	FFAR4	FFAR4
RBP4	RBP4	RBP4
PDE6C	PDE6C	PDE6C
FRA10AC1	FRA10AC1	FRA10AC1
LGI1	LGI1	LGI1
RP11-437J2.3	RP11-437J2.3	RP11-437J2.3
RP11-437J2.4	RP11-437J2.4	RP11-437J2.4
RAB11AP1	RAB11AP1	RAB11AP1
SLC35G1	SLC35G1	SLC35G1
PIPSL	PIPSL	PIPSL
PLCE1	PLCE1	PLCE1
PLCE1-AS2	PLCE1-AS2	PLCE1-AS2
RP11-162K11.4	RP11-162K11.4	RP11-162K11.4
HDAC1P1	HDAC1P1	HDAC1P1
RNU6-657P	RNU6-657P	RNU6-657P
RP11-391J2.3	RP11-391J2.3	RP11-391J2.3
PLCE1-AS1	PLCE1-AS1	PLCE1-AS1
RP11-76P2.4	RP11-76P2.4	RP11-76P2.4
NOC3L	NOC3L	NOC3L
TBC1D12	TBC1D12	TBC1D12
HELLS	HELLS	HELLS
RP11-119K6.6	RP11-119K6.6	RP11-119K6.6
CTBP2P2	CTBP2P2	CTBP2P2
CYP2C18	CYP2C18	CYP2C18
CYP2C19	CYP2C19	CYP2C19
MTND4P19	MTND4P19	MTND4P19
CYP2C58P	CYP2C58P	CYP2C58P
RPL7AP52	RPL7AP52	RPL7AP52
CYP2C9	CYP2C9	CYP2C9
MTND4P20	MTND4P20	MTND4P20
CYP2C59P	CYP2C59P	CYP2C59P
CYP2C60P	CYP2C60P	CYP2C60P
RP11-208C17.4	RP11-208C17.4	RP11-208C17.4
CYP2C8	CYP2C8	CYP2C8
RP11-310E22.5	RP11-310E22.5	RP11-310E22.5
RP11-310E22.6	RP11-310E22.6	RP11-310E22.6
PAWRP1	PAWRP1	PAWRP1
ACSM6	ACSM6	ACSM6
RP11-310E22.4	RP11-310E22.4	RP11-310E22.4
PDLIM1	PDLIM1	PDLIM1
SORBS1	SORBS1	SORBS1
RPS3AP36	RPS3AP36	RPS3AP36
ALDH18A1	ALDH18A1	ALDH18A1
TCTN3	TCTN3	TCTN3
ENTPD1	ENTPD1	ENTPD1
ENTPD1-AS1	ENTPD1-AS1	ENTPD1-AS1
RP11-429G19.3	RP11-429G19.3	RP11-429G19.3
CC2D2B	CC2D2B	CC2D2B
RPL21P90	RPL21P90	RPL21P90
CCNJ	CCNJ	CCNJ
MIR3157	MIR3157	MIR3157
RNU6-271P	RNU6-271P	RNU6-271P
ZNF518A	ZNF518A	ZNF518A
NPM1P25	NPM1P25	NPM1P25
BLNK	BLNK	BLNK
RP11-35J23.1	RP11-35J23.1	RP11-35J23.1
DNTT	DNTT	DNTT
OPALIN	OPALIN	OPALIN
TLL2	TLL2	TLL2
TM9SF3	TM9SF3	TM9SF3
NPM1P26	NPM1P26	NPM1P26
PIK3AP1	PIK3AP1	PIK3AP1
RNA5SP324	RNA5SP324	RNA5SP324
RPS2P36	RPS2P36	RPS2P36
RNU6-1274P	RNU6-1274P	RNU6-1274P
RPL13AP5	RPL13AP5	RPL13AP5
MIR607	MIR607	MIR607
LCOR	LCOR	LCOR
HMGN2P35	HMGN2P35	HMGN2P35
SLIT1	SLIT1	SLIT1
SLIT1-AS1	SLIT1-AS1	SLIT1-AS1
ARHGAP19	ARHGAP19	ARHGAP19
RP11-375N9.2	RP11-375N9.2	RP11-375N9.2
RPL12P27	RPL12P27	RPL12P27
FRAT1	FRAT1	FRAT1
FRAT2	FRAT2	FRAT2
RP11-452K12.4	RP11-452K12.4	RP11-452K12.4
RRP12	RRP12	RRP12
RPL34P20	RPL34P20	RPL34P20
RP11-452K12.7	RP11-452K12.7	RP11-452K12.7
PGAM1	PGAM1	PGAM1
EXOSC1	EXOSC1	EXOSC1
ZDHHC16	ZDHHC16	ZDHHC16
MMS19	MMS19	MMS19
UBTD1	UBTD1	UBTD1
ANKRD2	ANKRD2	ANKRD2
HOGA1	HOGA1	HOGA1
C10orf62	C10orf62	C10orf62
MORN4	MORN4	MORN4
PI4K2A	PI4K2A	PI4K2A
AVPI1	AVPI1	AVPI1
MARVELD1	MARVELD1	MARVELD1
ZFYVE27	ZFYVE27	ZFYVE27
SFRP5	SFRP5	SFRP5
LINC00866	LINC00866	LINC00866
GOLGA7B	GOLGA7B	GOLGA7B
CRTAC1	CRTAC1	CRTAC1
AL355301.1	AL355301.1	AL355301.1
R3HCC1L	R3HCC1L	R3HCC1L
LOXL4	LOXL4	LOXL4
RP11-34A14.3	RP11-34A14.3	RP11-34A14.3
PYROXD2	PYROXD2	PYROXD2
MIR1287	MIR1287	MIR1287
HPS1	HPS1	HPS1
MIR4685	MIR4685	MIR4685
HPSE2	HPSE2	HPSE2
MIR6507	MIR6507	MIR6507
ARL5AP2	ARL5AP2	ARL5AP2
RPL7P36	RPL7P36	RPL7P36
CNNM1	CNNM1	CNNM1
GOT1	GOT1	GOT1
RP11-441O15.3	RP11-441O15.3	RP11-441O15.3
LINC01475	LINC01475	LINC01475
RP11-129J12.1	RP11-129J12.1	RP11-129J12.1
NKX2-3	NKX2-3	NKX2-3
SLC25A28	SLC25A28	SLC25A28
RP11-85A1.3	RP11-85A1.3	RP11-85A1.3
RP11-483F11.7	RP11-483F11.7	RP11-483F11.7
ENTPD7	ENTPD7	ENTPD7
EBAG9P1	EBAG9P1	EBAG9P1
COX15	COX15	COX15
