Gene	Slope	P-value
CD24P1	CD24P1	CD24P1
DDI2	DDI2	DDI2
RP4-680D5.9	RP4-680D5.9	RP4-680D5.9
PLEKHM2	PLEKHM2	PLEKHM2
RP11-288I21.1	RP11-288I21.1	RP11-288I21.1
SLC25A34	SLC25A34	SLC25A34
TMEM82	TMEM82	TMEM82
RP11-169K16.4	RP11-169K16.4	RP11-169K16.4
FBLIM1	FBLIM1	FBLIM1
RPL12P14	RPL12P14	RPL12P14
UQCRHL	UQCRHL	UQCRHL
RP11-169K16.8	RP11-169K16.8	RP11-169K16.8
FLJ37453	FLJ37453	FLJ37453
SPEN	SPEN	SPEN
RP1-134O19.3	RP1-134O19.3	RP1-134O19.3
ZBTB17	ZBTB17	ZBTB17
RP11-5P18.1	RP11-5P18.1	RP11-5P18.1
RP11-5P18.3	RP11-5P18.3	RP11-5P18.3
RP11-5P18.11	RP11-5P18.11	RP11-5P18.11
TBC1D3P6	TBC1D3P6	TBC1D3P6
C1orf64	C1orf64	C1orf64
HSPB7	HSPB7	HSPB7
CLCNKA	CLCNKA	CLCNKA
RP11-5P18.10	RP11-5P18.10	RP11-5P18.10
CLCNKB	CLCNKB	CLCNKB
FAM131C	FAM131C	FAM131C
EPHA2	EPHA2	EPHA2
RP11-276H7.2	RP11-276H7.2	RP11-276H7.2
RP11-276H7.3	RP11-276H7.3	RP11-276H7.3
ARHGEF19	ARHGEF19	ARHGEF19
ANO7L1	ANO7L1	ANO7L1
RSG1	RSG1	RSG1
MT1XP1	MT1XP1	MT1XP1
FBXO42	FBXO42	FBXO42
SZRD1	SZRD1	SZRD1
RP11-430L17.1	RP11-430L17.1	RP11-430L17.1
SPATA21	SPATA21	SPATA21
NECAP2	NECAP2	NECAP2
LINC01772	LINC01772	LINC01772
CROCCP3	CROCCP3	CROCCP3
RNU1-1	RNU1-1	RNU1-1
RP4-798A10.7	RP4-798A10.7	RP4-798A10.7
RP4-798A10.4	RP4-798A10.4	RP4-798A10.4
LINC01783	LINC01783	LINC01783
RNU1-6P	RNU1-6P	RNU1-6P
FAM231B	FAM231B	FAM231B
RP5-875O13.6	RP5-875O13.6	RP5-875O13.6
NBPF1	NBPF1	NBPF1
RP5-1182A14.5	RP5-1182A14.5	RP5-1182A14.5
CROCCP2	CROCCP2	CROCCP2
MST1P2	MST1P2	MST1P2
RP1-163M9.8	RP1-163M9.8	RP1-163M9.8
RNU1-3	RNU1-3	RNU1-3
FAM231A	FAM231A	FAM231A
RP5-875O13.7	RP5-875O13.7	RP5-875O13.7
EIF1AXP1	EIF1AXP1	EIF1AXP1
ESPNP	ESPNP	ESPNP
RP1-163M9.7	RP1-163M9.7	RP1-163M9.7
FAM231C	FAM231C	FAM231C
RP5-1182A14.7	RP5-1182A14.7	RP5-1182A14.7
RNU1-4	RNU1-4	RNU1-4
CROCCP4	CROCCP4	CROCCP4
MST1L	MST1L	MST1L
RP11-108M9.1	RP11-108M9.1	RP11-108M9.1
RP11-108M9.2	RP11-108M9.2	RP11-108M9.2
MIR3675	MIR3675	MIR3675
